paso,metodo,escenario,seed,recompensa_paso,recompensa_total,costo_decision,costo_total,accion,bloque_razonamiento,posicion_x,posicion_y,distancia_a_meta,sobre_arena,colision_borde,meta_alcanzada
17,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.7000000000000004,2.0,34.0,0,ACT,140.58216857910156,119.90303039550781,731.97216796875,False,False,False
17,GoT Navigation Graph,obstaculos_densos,123,0.1,1.7000000000000004,375.0,6508.0,0,GRAPH,116.27630615234375,139.36766052246094,741.3079833984375,False,False,False
17,Adaptive rollout budget,obstaculos_densos,123,0.1,1.7000000000000004,27.0,123.0,0,Adaptive rollout budget,160.2344207763672,65.90884399414062,748.9262084960938,False,False,False
18,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.8000000000000005,2.0,36.0,0,ACT,145.17843627929688,123.75975799560547,725.9949340820312,False,False,False
18,GoT Navigation Graph,obstaculos_densos,123,0.1,1.8000000000000005,375.0,6883.0,0,GRAPH,117.31819152832031,145.27650451660156,737.2511596679688,False,False,False
18,Adaptive rollout budget,obstaculos_densos,123,0.1,1.8000000000000005,27.0,150.0,0,Adaptive rollout budget,164.8306884765625,69.76557159423828,742.9267578125,False,False,False
19,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,1.9000000000000006,2.0,38.0,0,ACT,149.7747039794922,127.61648559570312,720.01806640625,False,False,False
19,GoT Navigation Graph,obstaculos_densos,123,0.1,1.9000000000000006,375.0,7258.0,0,GRAPH,118.36007690429688,151.1853485107422,733.220947265625,False,False,False
19,Adaptive rollout budget,obstaculos_densos,123,0.1,1.9000000000000006,27.0,177.0,0,Adaptive rollout budget,169.4269561767578,73.62229919433594,736.92724609375,False,False,False
20,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,2.0000000000000004,2.0,40.0,0,ACT,154.3709716796875,131.47320556640625,714.0416870117188,False,False,False
20,GoT Navigation Graph,obstaculos_densos,123,0.1,2.0000000000000004,373.0,7631.0,0,GRAPH,119.40196228027344,157.0941925048828,729.2178955078125,False,False,False
20,Adaptive rollout budget,obstaculos_densos,123,-1.0,0.9000000000000006,27.0,204.0,0,Adaptive rollout budget,174.02322387695312,77.4790267944336,730.927734375,True,False,False
21,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,2.1000000000000005,2.0,42.0,0,ACT,158.9672393798828,135.32992553710938,708.065673828125,False,False,False
21,GoT Navigation Graph,obstaculos_densos,123,0.1,2.1000000000000005,373.0,8004.0,0,GRAPH,120.44384765625,163.00303649902344,725.2423706054688,False,False,False
21,Adaptive rollout budget,obstaculos_densos,123,-1.0,-0.09999999999999942,27.0,231.0,0,Adaptive rollout budget,174.7892608642578,78.12181091308594,729.9277954101562,True,False,False
22,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,2.2000000000000006,2.0,44.0,0,ACT,163.56350708007812,139.1866455078125,702.0900268554688,False,False,False
22,GoT Navigation Graph,obstaculos_densos,123,0.1,2.2000000000000006,373.0,8377.0,0,GRAPH,121.48573303222656,168.91188049316406,721.2948608398438,False,False,False
22,Adaptive rollout budget,obstaculos_densos,123,-1.0,-1.0999999999999994,27.0,258.0,0,Adaptive rollout budget,175.5552978515625,78.76459503173828,728.9279174804688,True,False,False
23,RL-of-Thoughts Navigator,obstaculos_densos,123,0.1,2.3000000000000007,2.0,46.0,0,ACT,168.15977478027344,143.04336547851562,696.11474609375,False,False,False
23,GoT Navigation Graph,obstaculos_densos,123,0.1,2.3000000000000007,373.0,8750.0,0,GRAPH,122.52761840820312,174.8207244873047,717.3757934570312,False,False,False
23,Adaptive rollout budget,obstaculos_densos,123,-1.0,-2.0999999999999996,27.0,285.0,0,Adaptive rollout budget,176.3213348388672,79.40737915039062,727.9280395507812,True,False,False
24,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,1.3000000000000007,2.0,48.0,0,ACT,172.75604248046875,146.90008544921875,690.1400146484375,True,False,False
24,GoT Navigation Graph,obstaculos_densos,123,0.1,2.400000000000001,373.0,9123.0,0,GRAPH,123.56950378417969,180.7295684814453,713.4856567382812,False,False,False
24,Adaptive rollout budget,obstaculos_densos,123,-1.0,-3.0999999999999996,27.0,312.0,0,Adaptive rollout budget,177.08737182617188,80.05016326904297,726.9281005859375,True,False,False
25,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,0.3000000000000007,2.0,50.0,0,ACT,173.52207946777344,147.54287719726562,689.144287109375,True,False,False
25,GoT Navigation Graph,obstaculos_densos,123,0.1,2.500000000000001,375.0,9498.0,0,GRAPH,124.61138916015625,186.63841247558594,709.6249389648438,False,False,False
25,Adaptive rollout budget,obstaculos_densos,123,-1.0,-4.1,27.0,339.0,0,Adaptive rollout budget,177.85340881347656,80.69294738769531,725.92822265625,True,False,False
26,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-0.6999999999999993,2.0,52.0,0,ACT,174.28811645507812,148.1856689453125,688.1485595703125,True,False,False
26,GoT Navigation Graph,obstaculos_densos,123,0.1,2.600000000000001,375.0,9873.0,0,GRAPH,125.65327453613281,192.54725646972656,705.7941284179688,False,False,False
26,Adaptive rollout budget,obstaculos_densos,123,-1.0,-5.1,27.0,366.0,0,Adaptive rollout budget,178.61944580078125,81.33573150634766,724.9283447265625,True,False,False
27,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-1.6999999999999993,2.0,54.0,0,ACT,175.0541534423828,148.82846069335938,687.15283203125,True,False,False
27,GoT Navigation Graph,obstaculos_densos,123,0.1,2.700000000000001,363.0,10236.0,0,GRAPH,126.69515991210938,198.4561004638672,701.9935913085938,False,False,False
27,Adaptive rollout budget,obstaculos_densos,123,-1.0,-6.1,27.0,393.0,0,Adaptive rollout budget,179.38548278808594,81.978515625,723.9284057617188,True,False,False
28,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-2.6999999999999993,2.0,56.0,0,ACT,175.8201904296875,149.47125244140625,686.1571044921875,True,False,False
28,GoT Navigation Graph,obstaculos_densos,123,0.1,2.800000000000001,363.0,10599.0,0,GRAPH,127.73704528808594,204.3649444580078,698.2240600585938,False,False,False
28,Adaptive rollout budget,obstaculos_densos,123,-1.0,-7.1,27.0,420.0,0,Adaptive rollout budget,180.15151977539062,82.62129974365234,722.9285278320312,True,False,False
29,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-3.6999999999999993,2.0,58.0,0,ACT,176.5862274169922,150.11404418945312,685.161376953125,True,False,False
29,GoT Navigation Graph,obstaculos_densos,123,0.1,2.9000000000000012,359.0,10958.0,0,GRAPH,128.7789306640625,210.27378845214844,694.48583984375,False,False,False
29,Adaptive rollout budget,obstaculos_densos,123,-1.0,-8.1,27.0,447.0,0,Adaptive rollout budget,180.9175567626953,83.26408386230469,721.9285888671875,True,False,False
30,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-4.699999999999999,2.0,60.0,0,ACT,177.35226440429688,150.7568359375,684.1657104492188,True,False,False
30,GoT Navigation Graph,obstaculos_densos,123,0.1,3.0000000000000013,359.0,11317.0,0,GRAPH,129.82081604003906,216.18263244628906,690.779541015625,False,False,False
30,Adaptive rollout budget,obstaculos_densos,123,-1.0,-9.1,27.0,474.0,0,Adaptive rollout budget,181.68359375,83.90686798095703,720.9287109375,True,False,False
31,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-5.699999999999999,2.0,62.0,0,ACT,178.11830139160156,151.39962768554688,683.1700439453125,True,False,False
31,GoT Navigation Graph,obstaculos_densos,123,0.1,3.1000000000000014,359.0,11676.0,0,GRAPH,130.86270141601562,222.0914764404297,687.1055908203125,False,False,False
31,Adaptive rollout budget,obstaculos_densos,123,-1.0,-10.1,27.0,501.0,0,Adaptive rollout budget,182.4496307373047,84.54965209960938,719.9287719726562,True,False,False
32,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-6.699999999999999,2.0,64.0,0,ACT,178.88433837890625,152.04241943359375,682.1743774414062,True,False,False
32,GoT Navigation Graph,obstaculos_densos,123,0.1,3.2000000000000015,359.0,12035.0,0,GRAPH,131.9045867919922,228.0003204345703,683.4645385742188,False,False,False
32,Adaptive rollout budget,obstaculos_densos,123,-1.0,-11.1,27.0,528.0,0,Adaptive rollout budget,183.21566772460938,85.19243621826172,718.9288330078125,True,False,False
33,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-7.699999999999999,2.0,66.0,0,ACT,179.65037536621094,152.68521118164062,681.1787109375,True,False,False
33,GoT Navigation Graph,obstaculos_densos,123,0.1,3.3000000000000016,354.0,12389.0,0,GRAPH,132.94647216796875,233.90916442871094,679.8570556640625,False,False,False
33,Adaptive rollout budget,obstaculos_densos,123,-1.0,-12.1,27.0,555.0,0,Adaptive rollout budget,183.98170471191406,85.83522033691406,717.9290161132812,True,False,False
34,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-8.7,2.0,68.0,0,ACT,180.41641235351562,153.3280029296875,680.18310546875,True,False,False
34,GoT Navigation Graph,obstaculos_densos,123,0.1,3.4000000000000017,354.0,12743.0,0,GRAPH,133.9883575439453,239.81800842285156,676.2835083007812,False,False,False
34,Adaptive rollout budget,obstaculos_densos,123,-1.0,-13.1,27.0,582.0,0,Adaptive rollout budget,184.74774169921875,86.4780044555664,716.9290161132812,True,False,False
35,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-9.7,2.0,70.0,0,ACT,181.1824493408203,153.97079467773438,679.1875,True,False,False
35,GoT Navigation Graph,obstaculos_densos,123,0.1,3.5000000000000018,354.0,13097.0,0,GRAPH,135.03024291992188,245.7268524169922,672.7444458007812,False,False,False
35,Adaptive rollout budget,obstaculos_densos,123,-1.0,-14.1,27.0,609.0,0,Adaptive rollout budget,185.51377868652344,87.12078857421875,715.9291381835938,True,False,False
36,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-10.7,2.0,72.0,0,ACT,181.948486328125,154.61358642578125,678.1918334960938,True,False,False
36,GoT Navigation Graph,obstaculos_densos,123,0.1,3.600000000000002,354.0,13451.0,2,GRAPH,136.07212829589844,251.6356964111328,669.240478515625,False,False,False
36,Adaptive rollout budget,obstaculos_densos,123,-1.0,-15.1,90.0,699.0,0,Adaptive rollout budget,186.27981567382812,87.7635726928711,714.9292602539062,True,False,False
37,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-11.7,2.0,74.0,0,ACT,182.7145233154297,155.25637817382812,677.1962280273438,True,False,False
37,GoT Navigation Graph,obstaculos_densos,123,0.1,3.700000000000002,354.0,13805.0,0,GRAPH,139.07212829589844,256.83184814453125,664.3030395507812,False,False,False
37,Adaptive rollout budget,obstaculos_densos,123,-1.0,-16.1,27.0,726.0,0,Adaptive rollout budget,187.0458526611328,88.40635681152344,713.9293823242188,True,False,False
38,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-12.7,2.0,76.0,0,ACT,183.48056030273438,155.899169921875,676.2006225585938,True,False,False
38,GoT Navigation Graph,obstaculos_densos,123,0.1,3.800000000000002,354.0,14159.0,0,GRAPH,142.07212829589844,262.02801513671875,659.3831176757812,False,False,False
38,Adaptive rollout budget,obstaculos_densos,123,-1.0,-17.1,27.0,753.0,0,Adaptive rollout budget,187.8118896484375,89.04914093017578,712.929443359375,True,False,False
39,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-13.7,2.0,78.0,0,ACT,184.24659729003906,156.54196166992188,675.205078125,True,False,False
39,GoT Navigation Graph,obstaculos_densos,123,0.1,3.900000000000002,354.0,14513.0,0,GRAPH,145.07212829589844,267.22418212890625,654.4813232421875,False,False,False
39,Adaptive rollout budget,obstaculos_densos,123,-1.0,-18.1,27.0,780.0,0,Adaptive rollout budget,188.5779266357422,89.69192504882812,711.9295043945312,True,False,False
40,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-14.7,2.0,80.0,0,ACT,185.01263427734375,157.18475341796875,674.2095336914062,True,False,False
40,GoT Navigation Graph,obstaculos_densos,123,0.1,4.000000000000002,354.0,14867.0,2,GRAPH,148.07212829589844,272.42034912109375,649.597900390625,False,False,False
40,Adaptive rollout budget,obstaculos_densos,123,-1.0,-19.1,27.0,807.0,0,Adaptive rollout budget,189.34396362304688,90.33470916748047,710.9295654296875,True,False,False
41,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-15.7,2.0,82.0,0,ACT,185.77867126464844,157.82754516601562,673.2139282226562,True,False,False
41,GoT Navigation Graph,obstaculos_densos,123,0.1,4.100000000000001,354.0,15221.0,0,GRAPH,152.66839599609375,276.2770690917969,643.8231201171875,False,False,False
41,Adaptive rollout budget,obstaculos_densos,123,-1.0,-20.1,27.0,834.0,0,Adaptive rollout budget,190.11000061035156,90.97749328613281,709.9297485351562,True,False,False
42,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-16.7,2.0,84.0,0,ACT,186.54470825195312,158.4703369140625,672.218505859375,True,False,False
42,GoT Navigation Graph,obstaculos_densos,123,0.1,4.200000000000001,353.0,15574.0,2,GRAPH,157.26466369628906,280.1337890625,638.0524291992188,False,False,False
42,Adaptive rollout budget,obstaculos_densos,123,-1.0,-21.1,27.0,861.0,0,Adaptive rollout budget,190.87603759765625,91.62027740478516,708.9298095703125,True,False,False
43,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-17.7,2.0,86.0,0,ACT,187.3107452392578,159.11312866210938,671.2229614257812,True,False,False
43,GoT Navigation Graph,obstaculos_densos,123,0.1,4.300000000000001,353.0,15927.0,2,GRAPH,162.90281677246094,282.1859130859375,632.0674438476562,False,False,False
43,Adaptive rollout budget,obstaculos_densos,123,-1.0,-22.1,27.0,888.0,0,Adaptive rollout budget,191.64207458496094,92.2630615234375,707.929931640625,True,False,False
44,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-18.7,2.0,88.0,0,ACT,188.0767822265625,159.75592041015625,670.2274169921875,True,False,False
44,GoT Navigation Graph,obstaculos_densos,123,0.1,4.4,359.0,16286.0,0,GRAPH,168.90281677246094,282.1859130859375,626.593994140625,False,False,False
44,Adaptive rollout budget,obstaculos_densos,123,-1.0,-23.1,27.0,915.0,0,Adaptive rollout budget,192.40811157226562,92.90584564208984,706.9300537109375,True,False,False
45,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-19.7,2.0,90.0,0,ACT,188.8428192138672,160.39871215820312,669.23193359375,True,False,False
45,GoT Navigation Graph,obstaculos_densos,123,-1.0,3.4000000000000004,359.0,16645.0,0,GRAPH,174.90281677246094,282.1859130859375,621.13037109375,True,False,False
45,Adaptive rollout budget,obstaculos_densos,123,-1.0,-24.1,27.0,942.0,0,Adaptive rollout budget,193.1741485595703,93.54862976074219,705.9301147460938,True,False,False
46,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-20.7,2.0,92.0,0,ACT,189.60885620117188,161.04150390625,668.2364501953125,True,False,False
46,GoT Navigation Graph,obstaculos_densos,123,-1.0,2.4000000000000004,359.0,17004.0,0,GRAPH,175.90281677246094,282.1859130859375,620.220703125,True,False,False
46,Adaptive rollout budget,obstaculos_densos,123,-1.0,-25.1,27.0,969.0,0,Adaptive rollout budget,193.940185546875,94.19141387939453,704.9302368164062,True,False,False
47,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-21.7,2.0,94.0,0,ACT,190.37489318847656,161.68429565429688,667.2410278320312,True,False,False
47,GoT Navigation Graph,obstaculos_densos,123,-1.0,1.4000000000000004,355.0,17359.0,2,GRAPH,176.90281677246094,282.1859130859375,619.3113403320312,True,False,False
47,Adaptive rollout budget,obstaculos_densos,123,-1.0,-26.1,27.0,996.0,0,Adaptive rollout budget,194.7062225341797,94.83419799804688,703.9302978515625,True,False,False
48,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-22.7,2.0,96.0,0,ACT,191.14093017578125,162.32708740234375,666.2455444335938,True,False,False
48,GoT Navigation Graph,obstaculos_densos,123,-1.0,0.40000000000000036,355.0,17714.0,0,GRAPH,177.84251403808594,281.8439025878906,618.5997314453125,True,False,False
48,Adaptive rollout budget,obstaculos_densos,123,-1.0,-27.1,27.0,1023.0,0,Adaptive rollout budget,195.47225952148438,95.47698211669922,702.9303588867188,True,False,False
49,RL-of-Thoughts Navigator,obstaculos_densos,123,-1.0,-23.7,2.0,98.0,0,ACT,191.90696716308594,162.96987915039062,665.2501220703125,True,False,False
